2013/12/4,PM2.5,102,87,77,73,73,56,51,47,50,38,37,0,66,58,62,56,52,47,67,91,90,84,64,60
2013/12/4,WIND_DIREC,60,32,32,15,49,80,25,55,63,37,27,4.9,28,23,53,39,33,36,53,32,63,50,83,97
2013/12/4,WIND_SPEED,0.7,0.8,0.9,1,1.3,0.7,1,0.8,1.2,2.6,2.6,2.2,3.1,3.8,4.6,3.5,2.5,1.9,0.9,0.7,0.4,0.6,0.8,0.5
2013/12/5,PM10,60,49,51,41,40,34,42,66,95,103,92,71,68,64,81,116,138,155,146,139,124,114,118,110
2013/12/5,PM2.5,46,50,49,38,32,32,34,44,51,53,47,41,40,51,53,74,88,102,93,103,95,96,93,91
2013/12/5,WIND_DIREC,82,84,74,118,148,111,20,34,22,358,285,276,333,322,29,342,357,100,120,123,93,34,72,43
2013/12/5,WIND_SPEED,0.5,0.6,0.7,0.4,0.6,1,0.7,1.3,1.3,0.8,1.4,1.8,1.5,2.1,2.9,2.5,1.6,0.4,1.2,1.7,1.2,0.6,1.1,0.8
2013/12/6,PM10,93,73,61,55,50,60,67,67,64,63,69,61,58,51,53,61,86,105,139,148,144,120,111,104
2013/12/6,PM2.5,81,68,60,51,46,43,41,34,36,34,37,38,36,42,32,47,56,68,78,89,84,75,66,72
2013/12/6,WIND_DIREC,32,29,31,37,26,55,58,41,30,28,35,47,14,41,42,62,24,40,32,131,86,0.1,41,24
2013/12/6,WIND_SPEED,1.1,1.4,1.5,0.8,1,2.3,1,2.9,2.8,3.9,3.1,3.4,3.4,3.6,3.7,3.1,2.9,2.1,1.2,0.6,0.4,0.6,0.5,1.2
2013/12/7,PM10,89,64,47,47,50,54,49,61,66,71,53,55,59,66,57,66,89,130,151,168,152,142,131,134
2013/12/7,PM2.5,65,51,42,32,37,35,36,37,45,54,39,42,43,57,43,48,59,76,88,91,93,96,95,89
2013/12/7,WIND_DIREC,38,28,54,35,25,29,197,37,18,165,19,338,20,9.5,9.4,18,301,347,283,172,100,141,175,165
2013/12/7,WIND_SPEED,1.2,1.5,0.4,1,0.9,0.7,0.4,1.6,1.8,0.7,1.3,1.9,2.1,2.8,2.8,2.8,2,1,0.9,0.8,0.5,0.8,0.7,0.6
2013/12/8,PM10,119,107,102,107,98,85,72,71,72,73,75,91,103,100,93,96,108,112,114,112,108,108,124,136
